,person_id,full_name,given_name,last_name,gender,graduate_degree,mfa_degree,role,prize_institution,prize_name,prize_year,prize_genre,prize_type,prize_amount,elite_1,elite_2,elite_3,award
2629,341.0,Cecilia Vicuña,Cecilia,Vicuña,female,0,no mfa,winner,"United States Artists (Ford, Rockefeller, Rasmuson, and Prudential)",USA Fellowship,2019.0,no genre,career,50000.0,,,,1.0
2630,451.0,Dael Orlandersmith,Dael,Orlandersmith,female,0,no mfa,winner,Whiting Foundation,Whiting Award,2008.0,no genre,career,50000.0,,,,1.0
2631,462.0,Dana Spiotta,Dana,Spiotta,female,0,no mfa,winner,American Academy of Arts and Letters,John Updike Award,2017.0,no genre,career,20000.0,,,,1.0
2632,494.0,Dava Sobel,Dava,Sobel,female,0,no mfa,winner,American Academy of Arts and Letters,Harold D. Vursell Memorial Award,1999.0,prose,career,20000.0,,,,1.0
2633,559.0,Deborah Eisenberg,Deborah,Eisenberg,female,0,no mfa,winner,American Academy of Arts and Letters,Arts and Letters Awards,1993.0,no genre,career,10000.0,,,,1.0
2634,559.0,Deborah Eisenberg,Deborah,Eisenberg,female,0,no mfa,winner,Lannan Foundation,Lannan Fellowship,2003.0,prose,career,50000.0,,,,1.0
2635,559.0,Deborah Eisenberg,Deborah,Eisenberg,female,0,no mfa,winner,Whiting Foundation,Whiting Award,1987.0,no genre,career,50000.0,,,,1.0
2636,562.0,Deborah Levy,Deborah,Levy,female,0,no mfa,winner,Lannan Foundation,Lannan Fellowship,2001.0,prose,career,50000.0,,,,1.0
2637,570.0,Denise Levertov,Denise,Levertov,female,0,no mfa,winner,Academy of American Poets,Academy of American Poets Fellowship,1995.0,poetry,career,25000.0,,,,1.0
2638,570.0,Denise Levertov,Denise,Levertov,female,0,no mfa,winner,American Academy of Arts and Letters,Arts and Letters Awards,1965.0,no genre,career,10000.0,,,,1.0
2639,570.0,Denise Levertov,Denise,Levertov,female,0,no mfa,winner,Lannan Foundation,Lannan Award,1993.0,poetry,career,150000.0,,,,1.0
