,person_id,full_name,gender,graduate_degree,mfa_degree,award,prize_amount
442,598.0,Donna Gershten,female,1,Warren Wilson College,1.0,25000.0
443,599.0,Donna Tartt,female,0,no mfa,1.0,15000.0
444,600.0,Donovan Hohn,male,1,University of Michigan,1.0,50000.0
445,601.0,Dora Malech,female,1,no mfa,1.0,25800.0
446,603.0,Doris Betts,female,0,no mfa,1.0,25000.0
447,606.0,Dorothy Baker,female,1,no mfa,1.0,10000.0
448,608.0,Dorothy Hughes,female,1,no mfa,1.0,10000.0
449,609.0,Doug Anderson,male,0,no mfa,1.0,10000.0
450,610.0,Doug Wright,male,1,New York University,1.0,50000.0
451,611.0,Douglas Crase,male,0,no mfa,2.0,550000.0
452,612.0,Douglas Day,male,1,no mfa,1.0,10000.0
453,613.0,Douglas Hobbie,male,0,no mfa,1.0,10000.0
454,614.0,Douglas Kearney,male,1,California Institute of the Arts,1.0,50000.0
455,615.0,Dudley Fitts,male,0,no mfa,1.0,10000.0
456,616.0,E. E. Cummings,male,1,no mfa,2.0,35000.0
457,617.0,E. L. Doctorow,male,0,no mfa,6.0,115000.0
458,618.0,Eamon Grennan,male,1,no mfa,1.0,25000.0
459,619.0,Eavan Boland,female,0,no mfa,1.0,150000.0
460,621.0,Ed Roberson,male,1,no mfa,3.0,200000.0
461,622.0,Edgar Bowers,male,1,no mfa,2.0,20000.0
462,623.0,Edgar Lee Masters,male,0,no mfa,2.0,35000.0
463,624.0,Edie Meidav,female,1,Mills College,1.0,50000.0
464,625.0,Edith Grossman,female,1,no mfa,1.0,10000.0
465,626.0,Edith Pearlman,female,0,no mfa,1.0,15000.0
466,627.0,Edith Wharton,female,0,no mfa,1.0,15000.0
467,629.0,Edmund Keeley,male,1,no mfa,1.0,10000.0
468,630.0,Edmund Morgan,male,1,no mfa,1.0,10000.0
469,631.0,Edmund White,male,0,no mfa,2.0,35000.0
470,632.0,Edna Ferber,female,0,no mfa,1.0,15000.0
471,633.0,Edna St Vincent Millay,female,0,no mfa,2.0,40000.0
472,634.0,Eduardo Corral,male,1,University of Iowa,1.0,50000.0
473,635.0,Edward Dahlberg,male,0,no mfa,1.0,10000.0
474,637.0,Edward Hirsch,male,1,no mfa,2.0,510000.0
475,638.0,Edward Hoagland,male,0,no mfa,1.0,20000.0
476,639.0,Edward P. Jones,male,1,University of Virginia,6.0,835000.0
477,640.0,Edward Said,male,1,no mfa,1.0,200000.0
